No	Student ID	Student Full Name	Total	Final	Midterm	Other
1	22125001	Nguyen An	9	10	8	1
2	22125003	Tran Anh	8	9	9	0
3	22125005	Mai Bach	7	8	8	0
4	22125006	Ngo Bach	8	9	10	0
5	22125008	Luu Bao	7	7	10	1
6	22125011	Nguyen Binh	9	10	10	0
7	22125012	Pham Buu	8	9	8	0
8	22125013	Le Cuong	7	7	8	0
9	22125015	Truong Dat	8	9	10	0
10	22125018	Lam Duy	9	10	9	0
11	22125020	Nguyen Giang	8	9	9	0
12	22125024	Cao Hau	8	8	10	1
13	22125025	Huynh Hau	8	9	10	0
14	22125027	Duong Hieu	8	9	10	0
15	22125028	Le Hieu	8	10	8	0
16	22125029	Le Hoang	7	7	9	0
17	22125032	Tran Huy	8	9	9	0
18	22125036	Nguyen Khanh	7	8	8	1
19	22125002	Pham Anh	9	10	10	1
20	22125004	Tran Anh	8	8	10	0
21	22125009	Ngo Bao	7	7	9	0
22	22125010	Phan Bao	9	10	10	0
23	22125014	Tran Dang	7	7	9	0
24	22125016	Nguyen Dinh	8	8	9	1
